****************************************************************
La primer columna se refiere a recursos disponibles para el desarrollo de de las actividades del proyecto. Cada recurso tiene un identificador numérico único. 

La segunda columna se refiere a los skills que poseen los recursos disponibles. Cada skill tiene un identificador numérico único.

La tercer columna se refiere a niveles de efectividad sobre el rango [0, 1]

Cada fila detalla el nivel de efectividad de un recurso en relación a un skill que ese recurso posee 
*************************************************************************


recurso	skill	efectividad

1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	0.1
18	1	0.2
19	1	0.3
20	1	0.4
21	1	0.5
22	1	0.6
23	1	0.7
24	1	0.8
25	1	0.9
26	1	0.2
27	1	0.3
28	1	0.4
29	1	0.5
30	1	0.6
31	1	0.7
32	1	0.8
33	2	1
34	2	1
35	2	1
36	2	1
37	2	1
38	2	1
39	2	1
40	2	1
41	2	1
42	2	1
43	2	1
44	2	0.1
45	2	0.2
46	2	0.3
47	2	0.4
48	2	0.5
49	2	0.6
50	2	0.7
51	2	0.8
52	2	0.9
53	2	0.1
54	2	0.2
55	3	1
56	3	1
57	3	1
58	3	1
59	3	1
60	3	1
61	3	1
62	3	1
63	3	1
64	3	1
65	3	1
66	3	1
67	3	1
68	3	0.2
69	3	0.3
70	3	0.4
71	3	0.5
72	3	0.6
73	3	0.7
74	3	0.8
75	3	0.9
76	3	0.3
77	3	0.4
78	3	0.5
79	3	0.6
80	3	0.7
81	4	1
82	4	1
83	4	1
84	4	1
85	4	1
86	4	1
87	4	1
88	4	1
89	4	1
90	4	1
91	4	1
92	4	1
93	4	1
94	4	0.2
95	4	0.3
96	4	0.4
97	4	0.5
98	4	0.6
99	4	0.7
100	4	0.8
101	4	0.9
102	4	0.10
103	4	0.11
104 4	1
105 4	1
106 4	1
107 4	1
108 4	1
109 4	1
110 4	1
111 4	1
112 4	1
113 4	1
114 4	1
115 4	1
116 4	1
117 4	1
118 4	1
119 4	1
120 4	1
121 4	1
122 4	1
123 4	1
124 4	1
125 4	1
126 4	1
127 4	1
128 4	1
129 4	1
130 4	1
131 4	1
132 4	1
133 4	1
134 4	1
135 4	1	
136	1	1
137	1	1
138	1	1
139	1	1
140	1	1
141	1	1
142	1	1
143	1	1
144	1	1
145	1	1
146	1	1
147	1	1
148	1	1
149	1	1
150	1	1
151	1	1
152	1	0.1
153	1	0.2
154	1	0.3
155	1	0.4
156	1	0.5
157	1	0.6
158	1	0.7
159	1	0.8
160	1	0.9
161	2	1
162	2	1
163	2	1
164	2	1
165	2	1
166	2	1
167	2	1
168	2	1
169	2	1
170	2	1
171	2	1
172	2	0.1
173	2	0.2
174	2	0.3
175	2	0.4
176	2	0.5
177	2	0.6
178	2	0.7
179	2	0.8
180	2	0.9
181	2	0.1
182	2	0.2
183	3	1
184	3	1
185	3	1
186	3	1
187	3	1
188	3	1
189	3	1
190	3	1
191	3	1
192	3	1
193	3	1
194	3	1
195	3	1
196	3	0.2
197	3	0.3
198	3	0.4
199	3	0.5
200	3	0.6
201	3	0.7
202	3	0.8
203	3	0.9
204	3	0.3
205	3	0.4
206	3	0.5
207	3	0.6
208	3	0.7
